ensembl_gene_id	ggallus_homolog_ensembl_gene	ggallus_homolog_associated_gene_name	ggallus_homolog_ensembl_peptide	ggallus_homolog_chromosome	ggallus_homolog_chrom_start	ggallus_homolog_chrom_end	ggallus_homolog_canonical_transcript_protein	ggallus_homolog_subtype	ggallus_homolog_orthology_type	ggallus_homolog_perc_id	ggallus_homolog_perc_id_r1	ggallus_homolog_goc_score	ggallus_homolog_wga_coverage	ggallus_homolog_dn	ggallus_homolog_ds	ggallus_homolog_orthology_confidence
ENSMUSG00000064341	ENSGALG00000042750	ND1	ENSGALP00000056694	MT	4050	5024	ENSMUSP00000080991	Amniota	ortholog_one2one	71.3836	70.0617	50	100	NA	NA	1
ENSMUSG00000064345	ENSGALG00000043768	ND2	ENSGALP00000051543	MT	5241	6281	ENSMUSP00000080992	Amniota	ortholog_one2one	44.058	43.9306	75	100	NA	NA	1
ENSMUSG00000064351	ENSGALG00000032142	COX1	ENSGALP00000046506	MT	6645	8192	ENSMUSP00000080993	Amniota	ortholog_one2one	86.965	86.7961	100	100	NA	NA	1
ENSMUSG00000064354	ENSGALG00000032456	COII	ENSGALP00000058371	MT	8331	9014	ENSMUSP00000080994	Amniota	ortholog_one2one	66.9604	66.9604	100	100	NA	NA	1
ENSMUSG00000064357	ENSGALG00000041091	ATP6	ENSGALP00000057531	MT	9240	9923	ENSMUSP00000080996	Amniota	ortholog_one2one	53.5398	53.304	100	100	NA	NA	1
ENSMUSG00000064358	ENSGALG00000035334	COX3	ENSGALP00000050525	MT	9923	10706	ENSMUSP00000080997	Amniota	ortholog_one2one	74.7126	74.7126	100	100	NA	NA	1
ENSMUSG00000064360	ENSGALG00000030436	ND3	ENSGALP00000043487	MT	10776	11126	ENSMUSP00000080998	Vertebrata	ortholog_one2one	59.1304	58.6207	100	100	NA	NA	1
ENSMUSG00000064363	ENSGALG00000036229	ND4	ENSGALP00000058535	MT	11486	12863	ENSMUSP00000081000	Euteleostomi	ortholog_one2one	57.9521	57.9521	100	100	NA	NA	1
ENSMUSG00000064367	ENSGALG00000029500	ND5	ENSGALP00000050219	MT	13071	14888	ENSMUSP00000081001	Euteleostomi	ortholog_one2one	56.0132	56.1983	75	96.9	NA	NA	1
ENSMUSG00000064368	ENSGALG00000037838	ND6	ENSGALP00000047587	MT	16184	16705	ENSMUSP00000081002	Amniota	ortholog_one2one	32.5581	32.3699	25	NA	NA	NA	0
ENSMUSG00000064370	ENSGALG00000032079	CYTB	ENSGALP00000049893	MT	14893	16035	ENSMUSP00000081003	Amniota	ortholog_one2one	74.0157	74.2105	50	100	NA	NA	1
