ensembl_gene_id	btaurus_homolog_ensembl_gene	ggallus_homolog_ensembl_gene	ggorilla_homolog_ensembl_gene	hsapiens_homolog_ensembl_gene	mdomestica_homolog_ensembl_gene	mmulatta_homolog_ensembl_gene	oanatinus_homolog_ensembl_gene	pabelii_homolog_ensembl_gene	ppaniscus_homolog_ensembl_gene	ptroglodytes_homolog_ensembl_gene	rnorvegicus_homolog_ensembl_gene
ENSMUSG00000000001	ENSBTAG00000013016	ENSGALG00000041700	ENSGGOG00000000519	ENSG00000065135	ENSMODG00000001975	ENSMMUG00000005818	ENSOANG00000002264	ENSPPYG00000001069	ENSPPAG00000038222	ENSPTRG00000001055	ENSRNOG00000019465
ENSMUSG00000000028	ENSBTAG00000004286	ENSGALG00000001616	ENSGGOG00000004116	ENSG00000093009	ENSMODG00000010162	ENSMMUG00000021904	ENSOANG00000028881	ENSPPYG00000011581	ENSPPAG00000028685	ENSPTRG00000014064	ENSRNOG00000050071
ENSMUSG00000000037	ENSBTAG00000009420	ENSGALG00000016537	ENSGGOG00000015959	ENSG00000102098	ENSMODG00000017144	ENSMMUG00000005084	ENSOANG00000022037	ENSPPYG00000020165	ENSPPAG00000039952	ENSPTRG00000021710	ENSRNOG00000003726
ENSMUSG00000000049	ENSBTAG00000001915	ENSGALG00000033376	ENSGGOG00000009261	ENSG00000091583	ENSMODG00000004169		ENSOANG00000008061	ENSPPYG00000008556	ENSPPAG00000040555	ENSPTRG00000009556	ENSRNOG00000003566
ENSMUSG00000000056	ENSBTAG00000018178	ENSGALG00000001603	ENSGGOG00000014883	ENSG00000141562	ENSMODG00000007135	ENSMMUG00000019224	ENSOANG00000005218		ENSPPAG00000035357	ENSPTRG00000009805	ENSRNOG00000036664
ENSMUSG00000000058	ENSBTAG00000045584	ENSGALG00000033295	ENSGGOG00000015074	ENSG00000105971		ENSMMUG00000045554		ENSPPYG00000017930	ENSPPAG00000042201	ENSPTRG00000040031	ENSRNOG00000057713
ENSMUSG00000000078	ENSBTAG00000015188	ENSGALG00000033178	ENSGGOG00000002055	ENSG00000067082	ENSMODG00000006714	ENSMMUG00000010696	ENSOANG00000006083	ENSPPYG00000002048	ENSPPAG00000040261	ENSPTRG00000048525	ENSRNOG00000016885
ENSMUSG00000000085	ENSBTAG00000001629	ENSGALG00000000672	ENSGGOG00000017190	ENSG00000010803	ENSMODG00000017337	ENSMMUG00000017104	ENSOANG00000002846	ENSPPYG00000001478	ENSPPAG00000042517	ENSPTRG00000000601	ENSRNOG00000032183
ENSMUSG00000000088	ENSBTAG00000017267	ENSGALG00000014121	ENSGGOG00000024426		ENSMODG00000028168	ENSMMUG00000011677	ENSOANG00000006532			ENSPTRG00000007289	ENSRNOG00000018816
ENSMUSG00000000093	ENSBTAG00000014278	ENSGALG00000034297	ENSGGOG00000009144	ENSG00000121068	ENSMODG00000014204	ENSMMUG00000046656	ENSOANG00000020395	ENSPPYG00000008798	ENSPPAG00000030701	ENSPTRG00000009489	ENSRNOG00000003517
ENSMUSG00000000094	ENSBTAG00000009968	ENSGALG00000005285	ENSGGOG00000013904	ENSG00000121075	ENSMODG00000014216	ENSMMUG00000022580	ENSOANG00000011525	ENSPPYG00000008800	ENSPPAG00000038997	ENSPTRG00000009491	ENSRNOG00000003544
ENSMUSG00000000120	ENSBTAG00000020979	ENSGALG00000035950	ENSGGOG00000008434	ENSG00000064300	ENSMODG00000012200	ENSMMUG00000014603	ENSOANG00000000447	ENSPPYG00000008921	ENSPPAG00000039815	ENSPTRG00000009377	ENSRNOG00000005392
ENSMUSG00000000125	ENSBTAG00000016012	ENSGALG00000001079	ENSGGOG00000007186	ENSG00000108379	ENSMODG00000011045	ENSMMUG00000020809		ENSPPYG00000008292	ENSPPAG00000037563	ENSPTRG00000009321	ENSRNOG00000003845
ENSMUSG00000000126	ENSBTAG00000020267	ENSGALG00000005401	ENSGGOG00000004569	ENSG00000143816	ENSMODG00000013820	ENSMMUG00000008338	ENSOANG00000015318	ENSPPYG00000000151	ENSPPAG00000040433	ENSPTRG00000002062	ENSRNOG00000003066
ENSMUSG00000000127	ENSBTAG00000003051	ENSGALG00000000273	ENSGGOG00000010028	ENSG00000151422	ENSMODG00000001390	ENSMMUG00000013582	ENSOANG00000011399	ENSPPYG00000015672	ENSPPAG00000039597	ENSPTRG00000017117	ENSRNOG00000015898
ENSMUSG00000000131	ENSBTAG00000010309	ENSGALG00000035360	ENSGGOG00000005609	ENSG00000169180	ENSMODG00000015516		ENSOANG00000004672	ENSPPYG00000007218			ENSRNOG00000016722
