ensembl_gene_id	oanatinus_homolog_ensembl_gene	oanatinus_homolog_associated_gene_name	oanatinus_homolog_ensembl_peptide	oanatinus_homolog_chromosome	oanatinus_homolog_chrom_start	oanatinus_homolog_chrom_end	oanatinus_homolog_canonical_transcript_protein	oanatinus_homolog_subtype	oanatinus_homolog_orthology_type	oanatinus_homolog_perc_id	oanatinus_homolog_perc_id_r1	oanatinus_homolog_goc_score	oanatinus_homolog_wga_coverage	oanatinus_homolog_dn	oanatinus_homolog_ds	oanatinus_homolog_orthology_confidence
ENSMUSG00000064370	ENSOANG00000019359	cytb	ENSOANP00000024985	MT	14186	15325	ENSMUSP00000081003	Mammalia	ortholog_one2one	81.3648	81.7942	50	100	NA	NA	1
ENSMUSG00000064368	ENSOANG00000019361	ND6	ENSOANP00000024986	MT	13614	14114	ENSMUSP00000081002	Mammalia	ortholog_one2one	41.8605	43.3735	75	100	NA	NA	0
ENSMUSG00000064367	ENSOANG00000009248		ENSOANP00000014722	X1	41727334	41739615	ENSMUSP00000081001	Mammalia	ortholog_one2many	54.0362	57.5439	0	NA	NA	NA	0
ENSMUSG00000064367	ENSOANG00000019362		ENSOANP00000024987	MT	11803	13617	ENSMUSP00000081001	Mammalia	ortholog_one2many	62.4382	62.7483	100	100	NA	NA	1
ENSMUSG00000064363	ENSOANG00000019366	MT-ND4	ENSOANP00000024988	MT	10231	11613	ENSMUSP00000081000	Mammalia	ortholog_one2one	66.2309	66.087	100	100	NA	NA	1
ENSMUSG00000065947	ENSOANG00000003650		ENSOANP00000005795	Contig219990	299	586	ENSMUSP00000081021	Mammalia	ortholog_one2many	55.102	56.8421	0	NA	NA	NA	0
ENSMUSG00000065947	ENSOANG00000007092		ENSOANP00000011283	Contig215910	280	567	ENSMUSP00000081021	Mammalia	ortholog_one2many	53.0612	54.7368	0	NA	NA	NA	0
ENSMUSG00000065947	ENSOANG00000019367	ND4L	ENSOANP00000024989	MT	9941	10237	ENSMUSP00000081021	Mammalia	ortholog_one2many	59.1837	59.1837	100	100	NA	NA	1
ENSMUSG00000064360	ENSOANG00000019369	MT-ND3	ENSOANP00000024990	MT	9527	9874	ENSMUSP00000080998	Mammalia	ortholog_one2one	64.3478	64.3478	100	100	NA	NA	1
ENSMUSG00000064358	ENSOANG00000019371	COX3	ENSOANP00000024991	MT	8673	9455	ENSMUSP00000080997	Mammalia	ortholog_one2one	85.4406	85.4406	100	100	NA	NA	1
