ensembl_gene_id	pabelii_homolog_ensembl_gene	pabelii_homolog_associated_gene_name	pabelii_homolog_ensembl_peptide	pabelii_homolog_chromosome	pabelii_homolog_chrom_start	pabelii_homolog_chrom_end	pabelii_homolog_canonical_transcript_protein	pabelii_homolog_subtype	pabelii_homolog_orthology_type	pabelii_homolog_perc_id	pabelii_homolog_perc_id_r1	pabelii_homolog_goc_score	pabelii_homolog_wga_coverage	pabelii_homolog_dn	pabelii_homolog_ds	pabelii_homolog_orthology_confidence
ENSMUSG00000064370	ENSPPYG00000020974	CYTB	ENSPPYP00000023451	MT	14201	15341	ENSMUSP00000081003	Eutheria	ortholog_one2one	74.0157	74.2105	50	100	0.1561	16.2941	1
ENSMUSG00000064368	ENSPPYG00000020972	ND6	ENSPPYP00000023450	MT	13603	14127	ENSMUSP00000081002	Boreoeutheria	ortholog_one2one	51.1628	50.5747	75	100	0.3589	20.9776	1
ENSMUSG00000064367	ENSPPYG00000020971	ND5	ENSPPYP00000023449	MT	11797	13602	ENSMUSP00000081001	Eutheria	ortholog_one2one	63.4267	64.0599	100	100	0.2596	28.6658	1
ENSMUSG00000064363	ENSPPYG00000020967	ND4	ENSPPYP00000023448	MT	10216	11593	ENSMUSP00000081000	Eutheria	ortholog_one2one	68.8453	68.8453	100	100	0.2051	77.6146	1
ENSMUSG00000065947	ENSPPYG00000020966	ND4L	ENSPPYP00000023447	MT	9926	10222	ENSMUSP00000081021	Eutheria	ortholog_one2many	67.3469	67.3469	100	100	0.203	18.5576	1
ENSMUSG00000065947	ENSPPYG00000012305		ENSPPYP00000013722	2a	37928146	37928439	ENSMUSP00000081021	Eutheria	ortholog_one2many	64.2857	64.2857	0	0	NA	NA	0
ENSMUSG00000064360	ENSPPYG00000020964	MT-ND3	ENSPPYP00000023446	MT	9515	9860	ENSMUSP00000080998	Eutheria	ortholog_one2one	61.7391	61.7391	100	100	0.2764	7.407	1
ENSMUSG00000064358	ENSPPYG00000020962	COX3	ENSPPYP00000023445	MT	8663	9446	ENSMUSP00000080997	Eutheria	ortholog_one2one	85.8238	85.8238	100	100	0.0906	6.0029	1
ENSMUSG00000064357	ENSPPYG00000020961	ATP6	ENSPPYP00000023444	MT	7983	8663	ENSMUSP00000080996	Eutheria	ortholog_one2one	69.9115	69.9115	100	100	0.2085	65.0108	1
ENSMUSG00000064354	ENSPPYG00000020958	COX2	ENSPPYP00000023442	MT	7023	7706	ENSMUSP00000080994	Mammalia	ortholog_one2one	71.8062	71.8062	100	100	0.1637	4.2001	1
ENSMUSG00000064351	ENSPPYG00000020955	COX1	ENSPPYP00000023441	MT	5342	6884	ENSMUSP00000080993	Euarchontoglires	ortholog_one2one	89.4942	89.4942	100	100	0.0618	5.3565	1
ENSMUSG00000064345	ENSPPYG00000020949	MT-ND2	ENSPPYP00000023440	MT	3895	4938	ENSMUSP00000080992	Euarchontoglires	ortholog_one2one	55.3623	55.0432	75	100	0.3368	74.6196	1
ENSMUSG00000064341	ENSPPYG00000020945	ND1	ENSPPYP00000023439	MT	2732	3688	ENSMUSP00000080991	Euarchontoglires	ortholog_one2one	77.3585	77.3585	50	100	0.1422	38.1607	1
ENSMUSG00000087913	ENSPPYG00000028960	RF00001	ENSPPYT00000032439	14	49948104	49948200	ENSMUST00000157288	Eutheria	ortholog_one2one	76.9231	61.8557	NA	NA	NA	NA	0
ENSMUSG00000087887	ENSPPYG00000023724	RF00554	ENSPPYT00000027203	4_random	21588173	21588306	ENSMUST00000157262	Theria	ortholog_many2many	61.1111	65.6716	NA	NA	NA	NA	0
ENSMUSG00000087887	ENSPPYG00000025770	RF00554	ENSPPYT00000029249	15	22261469	22261603	ENSMUST00000157262	Theria	ortholog_many2many	56.9444	60.7407	NA	NA	NA	NA	0
ENSMUSG00000087887	ENSPPYG00000025489	RF00554	ENSPPYT00000028968	15_random	4291240	4291374	ENSMUST00000157262	Theria	ortholog_many2many	56.25	60	NA	NA	NA	NA	0
ENSMUSG00000087887	ENSPPYG00000023063	RF00554	ENSPPYT00000026542	17	7587157	7587291	ENSMUST00000157262	Theria	ortholog_many2many	62.5	66.6667	NA	NA	NA	NA	0
ENSMUSG00000087887	ENSPPYG00000024319	RF00554	ENSPPYT00000027798	16	11620293	11620412	ENSMUST00000157262	Theria	ortholog_many2many	61.1111	73.3333	NA	NA	NA	NA	0
ENSMUSG00000087887	ENSPPYG00000022451	RF00554	ENSPPYT00000025930	18	24915324	24915457	ENSMUST00000157262	Theria	ortholog_many2many	60.4167	64.9254	NA	NA	NA	NA	0
ENSMUSG00000087887	ENSPPYG00000023802	RF00554	ENSPPYT00000027281	X	3184347	3184481	ENSMUST00000157262	Theria	ortholog_many2many	60.4167	64.4444	NA	NA	NA	NA	0
ENSMUSG00000087887	ENSPPYG00000024906	RF00554	ENSPPYT00000028385	12	56654451	56654584	ENSMUST00000157262	Theria	ortholog_many2many	60.4167	64.9254	NA	NA	NA	NA	0
ENSMUSG00000087887	ENSPPYG00000023985	RF00554	ENSPPYT00000027464	2b	37698866	37699000	ENSMUST00000157262	Theria	ortholog_many2many	54.8611	58.5185	NA	NA	NA	NA	0
ENSMUSG00000087887	ENSPPYG00000024721	RF00554	ENSPPYT00000028200	4	1069258	1069391	ENSMUST00000157262	Theria	ortholog_many2many	60.4167	64.9254	NA	NA	NA	NA	0
ENSMUSG00000087887	ENSPPYG00000024520	RF00554	ENSPPYT00000027999	16	55578354	55578488	ENSMUST00000157262	Theria	ortholog_many2many	54.8611	58.5185	NA	NA	NA	NA	0
ENSMUSG00000087887	ENSPPYG00000029176	RF00554	ENSPPYT00000032655	6_cox_hap1_random	156008	156167	ENSMUST00000157262	Theria	ortholog_many2many	45.8333	41.25	NA	NA	NA	NA	0
ENSMUSG00000087887	ENSPPYG00000024587	RF00554	ENSPPYT00000028066	2b	119067760	119067893	ENSMUST00000157262	Theria	ortholog_many2many	59.0278	63.4328	NA	NA	NA	NA	0
ENSMUSG00000087887	ENSPPYG00000028933	RF00554	ENSPPYT00000032412	15	61389082	61389220	ENSMUST00000157262	Theria	ortholog_many2many	56.25	58.2734	NA	NA	NA	NA	0
ENSMUSG00000087887	ENSPPYG00000028961	RF00554	ENSPPYT00000032440	6_cox_hap1	220516	220676	ENSMUST00000157262	Theria	ortholog_many2many	46.5278	41.6149	NA	NA	NA	NA	0
ENSMUSG00000087887	ENSPPYG00000027388	RF00554	ENSPPYT00000030867	7	11326749	11326837	ENSMUST00000157262	Theria	ortholog_many2many	40.2778	65.1685	NA	NA	NA	NA	0
ENSMUSG00000087887	ENSPPYG00000027567	RF00554	ENSPPYT00000031046	7_random	4498076	4498164	ENSMUST00000157262	Theria	ortholog_many2many	40.2778	65.1685	NA	NA	NA	NA	0
ENSMUSG00000096237	ENSPPYG00000019110		ENSPPYP00000021415	9	26888860	26891793	ENSMUSP00000136196	Boreoeutheria	ortholog_many2many	8.91871	45.3815	75	87.69	0.4352	0.5005	0
ENSMUSG00000096237	ENSPPYG00000019111		ENSPPYP00000021416	9	26891857	26893527	ENSMUSP00000136196	Boreoeutheria	ortholog_many2many	21.0734	47.9354	50	93.65	0.4088	0.5631	0
ENSMUSG00000096237	ENSPPYG00000019109		ENSPPYP00000021414	9	26768723	26771410	ENSMUSP00000136196	Boreoeutheria	ortholog_many2many	4.41989	40.8759	25	NA	0.5611	0.7644	0
ENSMUSG00000065346	ENSPPYG00000025457	RF00394	ENSPPYT00000028936	X	80702940	80703086	ENSMUST00000083412	Eutheria	ortholog_many2many	70.9091	53.0612	NA	NA	NA	NA	0
ENSMUSG00000065346	ENSPPYG00000025617	RF00394	ENSPPYT00000029096	7	32953556	32953699	ENSMUST00000083412	Eutheria	ortholog_many2many	70	53.4722	NA	NA	NA	NA	0
ENSMUSG00000065346	ENSPPYG00000024998	RF00394	ENSPPYT00000028477	2b	88387112	88387248	ENSMUST00000083412	Eutheria	ortholog_many2many	75.4545	60.5839	NA	NA	NA	NA	0
